year,paragraph_id,actors
2000,42,"AUSTRALIA, BRAZIL, CHINA, EUROPEAN UNION, G77, INDIA, JAPAN, NEW ZELAND, NORWAY, SAUDI ARABIA, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
2000,43,"AOSIS, CANADA, EUROPEAN UNION, ICELAND, INDIA, JAPAN, NORWAY, UGANDA, UNITED STATES OF AMERICA (USA)"
2000,45,"AOSIS, AUSTRALIA, BOLIVIA, BRAZIL, CANADA, CHILE, CHINA, COLOMBIA, COSTA RICA, EUROPEAN UNION, G77, JAPAN, MALAYSIA, NORWAY, PERU, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
2000,46,"CANADA, CHINA, EUROPEAN UNION, G77, JAPAN, MEXICO, NORWAY, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
2000,48,"AUSTRALIA, CANADA, CHINA, COSTA RICA, EUROPEAN UNION, G77, HUGARY, JAPAN, MALAYSIA, SAUDI ARABIA, UNITED STATES OF AMERICA (USA)"
2000,49,"AUSTRALIA, BOLIVIA, BRAZIL, CANADA, CHINA, COLOMBIA, EUROPEAN UNION, G77, GHANA, HONDURAS, HUGARY, INDIA, INDONESIA, JAPAN, RUSSIA, SAUDI ARABIA, UNITED STATES OF AMERICA (USA)"
2000,51,"AUSTRALIA, CHINA, EUROPEAN UNION, G77, INDIA, JAPAN, NEW ZELAND, NORWAY, RUSSIA, UNITED STATES OF AMERICA (USA)"
2000,52,"AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, JAPAN, NEW ZELAND, POLAND, RUSSIA, SAUDI ARABIA, UNITED ARAB EMIRATES (UAE), UNITED STATES OF AMERICA (USA)"
2000,54,"AOSIS, ARGENTINA, AUSTRALIA, CHINA, EUROPEAN UNION, G77, JAPAN, RUSSIA, UNITED STATES OF AMERICA (USA)"
2000,55,"AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, JAPAN, SAUDI ARABIA, SWITZERLAND, TANZANIA, UNITED STATES OF AMERICA (USA)"
2000,57,"CANADA, CHINA, EUROPEAN UNION, G77"
2000,58,"DENMARK, ICELAND"
2000,59,GERMANY
2000,63,"AUSTRIA, BOLIVIA, BUTHAN, COSTA RICA, FRANCE, GREECE, GUATEMALA, HONDURAS, JAPAN, KUWAIT, NETHERLANDS, NEW ZELAND, NORWAY, REPUBLIC OF IRELAND, SENEGAL, SOUTH AFRICA, TANZANIA, UNITED STATES OF AMERICA (USA)"
2000,64,"BUTHAN, CANADA, CHINA, JAPAN, MALAYSIA, NEPAL, NORWAY, PERU, SAUDI ARABIA, SOUTH AFRICA, THAILAND, TURKEY, UNITED KINGDOM (UK)"
2000,66,"BRAZIL, KENYA, TANZANIA, UNITED KINGDOM (UK)"
2000,67,"ARGENTINA, CHINA, EUROPEAN UNION, G77, SAUDI ARABIA, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
2000,68,"ARGENTINA, CHINA, G77, NETHERLANDS, NIGERIA"
2000,70,NETHERLANDS
2000,71,ARGENTINA
2000,74,"CHINA, EUROPEAN UNION, G77, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
2000,75,"CHINA, EUROPEAN UNION, G77, UNITED STATES OF AMERICA (USA)"
2000,76,UNITED STATES OF AMERICA (USA)
2000,80,"FRANCE, UNITED STATES OF AMERICA (USA)"
2000,81,"AUSTRIA, BURKINA, Burkina Faso, CHINA, GERMANY, MOROCCO, SWITZERLAND, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
2002,1,"AUSTRALIA, CANADA, FINLAND, GERMANY, ICELAND, JAPAN, NETHERLANDS, NEW ZELAND, NORWAY, SWEDEN, SWITZERLAND, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
2002,5,"ARGENTINA, INDIA"
2002,13,"ARGENTINA, GERMANY, JAPAN, NETHERLANDS"
2002,14,"ARGENTINA, AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, GERMANY, JAPAN, MOROCCO, NEW ZELAND, RUSSIA, UNITED STATES OF AMERICA (USA)"
2002,16,SOUTH AFRICA
2002,17,"AFGHANISTAN, BULGARIA, BURKINA, Burkina Faso, CANADA, CHILE, CHINA, EUROPEAN UNION, G77, GERMANY, ICELAND, INDIA, MOROCCO, PANAMA, QATAR, RUSSIA, SAUDI ARABIA"
2002,18,"CHINA, ZIMBABWE"
2002,19,"CHINA, EUROPEAN UNION, G77, GRULAC, ICELAND, NEW ZELAND, NORWAY, SAUDI ARABIA, UNITED STATES OF AMERICA (USA)"
2002,21,"CHINA, EUROPEAN UNION, G77, NEW ZELAND, SAUDI ARABIA, SOUTH AFRICA, UNITED STATES OF AMERICA (USA)"
2002,24,"AOSIS, BOLIVIA, BRAZIL, CANADA, CHILE, CHINA, COLOMBIA, EUROPEAN UNION, G77, GERMANY, MALAYSIA, NEW ZELAND, NORWAY, SWITZERLAND, URUGUAY"
2002,25,"AUSTRALIA, BRAZIL, CANADA, CHINA, CROATIA, EUROPEAN UNION, GHANA, INDIA, MEXICO, SAUDI ARABIA, UGANDA, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA), YUGOSLAVIA"
2002,27,"AUSTRALIA, CHINA, EUROPEAN UNION, G77, NORWAY, SAUDI ARABIA, UNITED STATES OF AMERICA (USA)"
2002,28,"AOSIS, AUSTRALIA, CANADA, CHINA, COLOMBIA, EUROPEAN UNION, FINLAND, INDIA, JAPAN, MALAYSIA, NORWAY, RUSSIA, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
2002,30,"BELGIUM, CANADA, CHINA, EUROPEAN UNION, GAMBIA, INDIA, NAMIBIA, NEW ZELAND, POLAND, RUSSIA, SENEGAL, SLOVENIA, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
2002,31,SAUDI ARABIA
2002,32,"ARGENTINA, CANADA, EUROPEAN UNION, INDIA, KENYA, KUWAIT, UNITED STATES OF AMERICA (USA)"
2002,34,"AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, ITALIA, JAPAN"
2002,35,"EUROPEAN UNION, FIJI, ITALIA, JAPAN, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
2002,37,"BARBADOS, BRAZIL, CANADA, CHINA, EUROPEAN UNION, G77, INDIA, JAPAN, NORWAY"
2002,38,"BULGARIA, BUTHAN, CANADA, CHINA, G77, IRAN"
2002,40,"ALBANIA, AUSTRALIA, BANGLADESH, CANADA, EUROPEAN UNION, GAMBIA, ITALIA, JAPAN, MOLDOVA, UNITED STATES OF AMERICA (USA)"
2002,41,"AUSTRALIA, BULGARIA, CANADA, CROATIA, EUROPEAN UNION, SWITZERLAND, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
2002,42,UNITED STATES OF AMERICA (USA)
2002,44,"ICELAND, MONACP"
2002,45,INDIA
2002,46,"AOSIS, EUROPEAN UNION, FINLAND, INDIA, INTERNATIONAL WORK GROUP FOR INDIGENOUS AFFAIRS (IWGIA), NEW ZELAND, UNITED KINGDOM (UK)"
2002,48,"AOSIS, AUSTRALIA, BELGIUM, BRAZIL, BULGARIA, COLOMBIA, DENMARK, ETHIOPIA, EUROPEAN UNION, FINLAND, GERMANY, GREECE, IRAN, JAPAN, KENYA, MALAYSIA, MEXICO, NAMIBIA, NEPAL, NEW ZELAND, POLAND, REPUBLIC OF IRELAND, SAUDI ARABIA, SLOVENIA, SOUTH AFRICA, SOUTH KOREA, SPAIN, SWITZERLAND, TANZANIA, THAILAND, UGANDA, UNITED STATES OF AMERICA (USA), URUGUAY, VENEZUELA"
2002,49,"ALGERIA, BANGLADESH, BELGIUM, CANADA, CHINA, CUBA, EGYPT, EUROPEAN UNION, G77, GERMANY, ICELAND, INDIA, ISREAL, ITALIA, KIRIBATI, KUWAIT, NIGERIA, OMAN, PALAU, QATAR, RUSSIA, SAUDI ARABIA, SWEDEN, THAILAND, UGANDA, UNITED STATES OF AMERICA (USA), VENEZUELA"
2002,51,"BRAZIL, CHILE, EUROPEAN UNION, NEPAL, PAPUA NEW GUINEA, TANZANIA"
