Source,Target,Weight,Start,End
COSTA RICA,MOROCCO,2,1996,1996
MOROCCO,RUSSIA,1,1996,1996
BANGLADESH,MOROCCO,2,1996,1996
MOROCCO,SWITZERLAND,1,1996,1996
MOROCCO,NEW ZELAND,1,1996,1996
G77,MOROCCO,2,1996,1996
JAPAN,MOROCCO,1,1996,1996
CANADA,MOROCCO,1,1996,1996
MOROCCO,SAUDI ARABIA,1,1996,1996
ARGENTINA,MOROCCO,1,1996,1996
MOROCCO,OMAN,2,1996,1996
BENIN,MOROCCO,2,1996,1996
MOROCCO,UNITED ARAB EMIRATES (UAE),1,1996,1996
BRAZIL,MOROCCO,1,1996,1996
IRAN,MOROCCO,1,1996,1996
MOROCCO,SOUTH KOREA,1,1996,1996
MOROCCO,NORWAY,1,1996,1996
MOROCCO,PAKISTAN,2,1996,1996
MOROCCO,NIGERIA,1,1996,1996
MOROCCO,MYANMAR,1,1996,1996
HUGARY,MOROCCO,2,1996,1996
CHINA,MOROCCO,2,1996,1996
MOROCCO,POLAND,2,1996,1996
INDIA,MOROCCO,1,1996,1996
INDONESIA,MOROCCO,2,1996,1996
COLOMBIA,MOROCCO,1,1996,1996
GEORGIA,MOROCCO,2,1996,1996
MOROCCO,PHILIPPINES,1,1996,1996
HUNGARY,MOROCCO,2,1996,1996
MALDIVES,MOROCCO,2,1996,1996
MOROCCO,USA,2,1996,1996
FIJI,MOROCCO,1,1996,1996
FEDERATED STATES OF MICRONESIA,MOROCCO,2,1996,1996
COSTA RICA,NEW ZELAND,1,1996,1996
COSTA RICA,G77,3,1996,1996
COSTA RICA,JAPAN,1,1996,1996
ARGENTINA,COSTA RICA,1,1996,1996
COSTA RICA,OMAN,2,1996,1996
BENIN,COSTA RICA,2,1996,1996
COSTA RICA,UNITED ARAB EMIRATES (UAE),1,1996,1996
BRAZIL,COSTA RICA,1,1996,1996
COSTA RICA,NORWAY,1,1996,1996
COSTA RICA,PAKISTAN,2,1996,1996
COSTA RICA,NIGERIA,1,1996,1996
COSTA RICA,MYANMAR,1,1996,1996
COSTA RICA,HUGARY,2,1996,1996
CHINA,COSTA RICA,3,1996,1996
COSTA RICA,POLAND,2,1996,1996
COSTA RICA,INDIA,2,1996,1996
COSTA RICA,INDONESIA,2,1996,1996
COLOMBIA,COSTA RICA,1,1996,1996
COSTA RICA,GEORGIA,2,1996,1996
COSTA RICA,HUNGARY,2,1996,1996
COSTA RICA,MALDIVES,2,1996,1996
COSTA RICA,FIJI,1,1996,1996
COSTA RICA,FEDERATED STATES OF MICRONESIA,2,1996,1996
NEW ZELAND,RUSSIA,4,1996,1996
G77,RUSSIA,3,1996,1996
JAPAN,RUSSIA,2,1996,1996
ARGENTINA,RUSSIA,2,1996,1996
OMAN,RUSSIA,2,1996,1996
BENIN,RUSSIA,1,1996,1996
RUSSIA,UNITED ARAB EMIRATES (UAE),2,1996,1996
BRAZIL,RUSSIA,2,1996,1996
NORWAY,RUSSIA,2,1996,1996
PAKISTAN,RUSSIA,1,1996,1996
NIGERIA,RUSSIA,3,1996,1996
MYANMAR,RUSSIA,2,1996,1996
CHINA,RUSSIA,4,1996,1996
POLAND,RUSSIA,1,1996,1996
INDIA,RUSSIA,2,1996,1996
INDONESIA,RUSSIA,1,1996,1996
COLOMBIA,RUSSIA,2,1996,1996
GEORGIA,RUSSIA,1,1996,1996
MALDIVES,RUSSIA,1,1996,1996
FIJI,RUSSIA,1,1996,1996
FEDERATED STATES OF MICRONESIA,RUSSIA,1,1996,1996
BANGLADESH,NEW ZELAND,1,1996,1996
BANGLADESH,G77,2,1996,1996
BANGLADESH,JAPAN,1,1996,1996
ARGENTINA,BANGLADESH,2,1996,1996
BANGLADESH,OMAN,2,1996,1996
BANGLADESH,BENIN,2,1996,1996
BANGLADESH,UNITED ARAB EMIRATES (UAE),1,1996,1996
BANGLADESH,BRAZIL,1,1996,1996
BANGLADESH,NORWAY,1,1996,1996
BANGLADESH,PAKISTAN,2,1996,1996
BANGLADESH,NIGERIA,1,1996,1996
BANGLADESH,MYANMAR,1,1996,1996
